Case ID,Sample source,Sample type,Interview start time,Interview end time,Language of interview,Would you say things in this country today are...,"Which statement comes closer to your own view, even if neither is exactly right?","In the past 12 months, did you spend any time volunteering for any organization or association?",Would you say you follow what’s going on in government and public affairs…,What is your overall opinion of… Joe Biden,What is your overall opinion of… Kamala Harris
A100001,Probability 1,Probability-based,2021-06-14 18:32:45,2021-06-14 21:30:39,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100002,Probability 1,Probability-based,2021-06-14 18:33:55,2021-06-14 18:39:46,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very unfavorable
A100003,Probability 1,Probability-based,2021-06-14 18:34:07,2021-06-14 18:39:10,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Very favorable,Mostly favorable
A100004,Probability 1,Probability-based,2021-06-14 18:34:40,2021-06-14 18:50:46,English,Refused,Most people can be trusted,No,Some of the time,Refused,Refused
A100005,Probability 1,Probability-based,2021-06-14 18:40:04,2021-06-14 18:54:44,English,Generally headed in the right direction,Most people can be trusted,Yes,Some of the time,Very favorable,Mostly favorable
A100006,Probability 1,Probability-based,2021-06-14 18:44:54,2021-06-14 18:54:31,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very unfavorable
A100007,Probability 1,Probability-based,2021-06-14 18:48:07,2021-06-14 18:53:16,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly favorable,Very favorable
A100008,Probability 1,Probability-based,2021-06-14 18:49:13,2021-06-14 18:58:09,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100009,Probability 1,Probability-based,2021-06-14 19:01:14,2021-06-14 19:08:22,English,Off on the wrong track,Most people can be trusted,No,Only now and then,Mostly unfavorable,Refused
A100010,Probability 1,Probability-based,2021-06-14 19:11:03,2021-06-14 19:23:13,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100011,Probability 1,Probability-based,2021-06-14 19:12:50,2021-06-14 19:16:20,English,Off on the wrong track,Refused,No,Hardly at all,Very unfavorable,Mostly favorable
A100012,Probability 1,Probability-based,2021-06-14 19:16:54,2021-06-14 19:21:54,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Some of the time,Very favorable,Very favorable
A100013,Probability 1,Probability-based,2021-06-14 19:21:58,2021-06-14 19:24:51,English,Generally headed in the right direction,Most people can be trusted,No,Only now and then,Mostly favorable,Mostly favorable
A100014,Probability 1,Probability-based,2021-06-14 19:25:51,2021-06-14 19:36:12,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Mostly favorable,Mostly favorable
A100015,Probability 1,Probability-based,2021-06-14 19:32:34,2021-06-14 19:43:10,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100016,Probability 1,Probability-based,2021-06-14 19:35:45,2021-06-14 19:39:53,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Hardly at all,Refused,Refused
A100017,Probability 1,Probability-based,2021-06-14 19:37:49,2021-06-14 19:43:29,English,Off on the wrong track,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100018,Probability 1,Probability-based,2021-06-14 19:42:27,2021-06-14 19:56:34,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Very favorable,Very favorable
A100019,Probability 1,Probability-based,2021-06-14 19:47:30,2021-06-14 19:57:57,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100020,Probability 1,Probability-based,2021-06-14 19:56:55,2021-06-14 20:17:18,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100021,Probability 1,Probability-based,2021-06-14 19:57:29,2021-06-14 20:11:47,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Most of the time,Mostly favorable,Mostly favorable
A100022,Probability 1,Probability-based,2021-06-14 20:16:50,2021-06-14 20:23:41,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Very unfavorable,Very unfavorable
A100023,Probability 1,Probability-based,2021-06-14 20:31:25,2021-06-14 20:35:55,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Very favorable,Mostly favorable
A100024,Probability 1,Probability-based,2021-06-14 20:31:38,2021-06-15 08:20:58,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Mostly favorable,Mostly favorable
A100025,Probability 1,Probability-based,2021-06-14 20:31:55,2021-06-14 20:42:00,English,Off on the wrong track,Most people can be trusted,Yes,Some of the time,Mostly favorable,Mostly favorable
A100026,Probability 1,Probability-based,2021-06-14 20:37:30,2021-06-14 20:48:21,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly unfavorable,Very unfavorable
A100027,Probability 1,Probability-based,2021-06-14 20:44:34,2021-06-14 20:58:27,English,Off on the wrong track,Most people can be trusted,Yes,Some of the time,Mostly unfavorable,Mostly unfavorable
A100028,Probability 1,Probability-based,2021-06-14 20:48:48,2021-06-14 20:55:50,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100029,Probability 1,Probability-based,2021-06-14 20:52:03,2021-06-14 20:58:49,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly favorable
A100030,Probability 1,Probability-based,2021-06-14 20:59:21,2021-06-18 09:56:11,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Only now and then,Very unfavorable,Very unfavorable
A100031,Probability 1,Probability-based,2021-06-14 21:26:15,2021-06-14 21:32:09,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100032,Probability 1,Probability-based,2021-06-14 21:34:32,2021-06-14 21:41:52,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very favorable,Very favorable
A100033,Probability 1,Probability-based,2021-06-14 21:38:56,2021-06-14 21:41:17,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100034,Probability 1,Probability-based,2021-06-14 22:04:48,2021-06-14 22:12:01,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Refused,Refused
A100035,Probability 1,Probability-based,2021-06-14 22:20:15,2021-06-16 13:32:56,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100036,Probability 1,Probability-based,2021-06-14 22:36:13,2021-06-14 22:48:02,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Most of the time,Very unfavorable,Very unfavorable
A100037,Probability 1,Probability-based,2021-06-14 22:36:21,2021-06-14 22:40:12,English,Off on the wrong track,Most people can be trusted,Yes,Some of the time,Mostly favorable,Mostly favorable
A100038,Probability 1,Probability-based,2021-06-14 22:38:35,2021-06-15 15:00:15,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very favorable,Very favorable
A100039,Probability 1,Probability-based,2021-06-14 22:47:58,2021-06-14 22:55:59,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Most of the time,Very unfavorable,Very favorable
A100040,Probability 1,Probability-based,2021-06-14 23:38:06,2021-06-16 00:53:01,English,Generally headed in the right direction,Most people can be trusted,No,Only now and then,Very favorable,Very favorable
A100041,Probability 1,Probability-based,2021-06-14 23:49:19,2021-06-15 00:01:54,English,Off on the wrong track,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100042,Probability 1,Probability-based,2021-06-15 00:17:14,2021-06-15 00:35:05,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly unfavorable,Very unfavorable
A100043,Probability 1,Probability-based,2021-06-15 00:24:05,2021-06-15 03:39:17,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly unfavorable,Mostly unfavorable
A100044,Probability 1,Probability-based,2021-06-15 00:59:33,2021-06-15 01:13:27,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly favorable
A100045,Probability 1,Probability-based,2021-06-15 05:58:07,2021-06-15 06:06:25,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100046,Probability 1,Probability-based,2021-06-15 06:29:38,2021-06-15 06:38:01,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Mostly favorable,Mostly favorable
A100047,Probability 1,Probability-based,2021-06-15 07:31:47,2021-06-15 07:37:55,English,Off on the wrong track,Most people can be trusted,No,Only now and then,Mostly unfavorable,Mostly favorable
A100048,Probability 1,Probability-based,2021-06-15 07:46:59,2021-06-15 07:52:22,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Most of the time,Very unfavorable,Very unfavorable
A100049,Probability 1,Probability-based,2021-06-15 08:46:47,2021-06-15 09:09:36,English,Off on the wrong track,Most people can be trusted,No,Some of the time,Mostly unfavorable,Very unfavorable
A100050,Probability 1,Probability-based,2021-06-15 09:05:30,2021-06-15 09:13:59,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Only now and then,Very unfavorable,Very unfavorable
A100051,Probability 1,Probability-based,2021-06-15 09:57:15,2021-06-15 10:05:57,English,Generally headed in the right direction,Most people can be trusted,Yes,Most of the time,Very favorable,Mostly favorable
A100052,Probability 1,Probability-based,2021-06-15 09:57:23,2021-06-15 10:06:33,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Some of the time,Mostly favorable,Mostly unfavorable
A100053,Probability 1,Probability-based,2021-06-15 09:58:18,2021-06-15 10:03:00,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Very unfavorable,Very unfavorable
A100054,Probability 1,Probability-based,2021-06-15 09:59:28,2021-06-15 10:07:21,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Only now and then,Very unfavorable,Very unfavorable
A100055,Probability 1,Probability-based,2021-06-15 10:17:39,2021-06-15 10:23:00,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly unfavorable,Very unfavorable
A100056,Probability 1,Probability-based,2021-06-15 10:20:39,2021-06-15 10:30:56,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Very unfavorable,Very unfavorable
A100057,Probability 1,Probability-based,2021-06-15 10:21:35,2021-06-15 10:30:30,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Very favorable,Very favorable
A100058,Probability 1,Probability-based,2021-06-15 11:02:17,2021-06-15 11:10:08,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Very unfavorable,Very unfavorable
A100059,Probability 1,Probability-based,2021-06-15 11:08:52,2021-06-15 11:23:07,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly favorable
A100060,Probability 1,Probability-based,2021-06-15 11:24:57,2021-06-15 11:48:57,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100061,Probability 1,Probability-based,2021-06-15 11:34:18,2021-06-15 12:03:42,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly favorable,Mostly favorable
A100062,Probability 1,Probability-based,2021-06-15 11:44:58,2021-06-15 11:58:32,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly unfavorable
A100063,Probability 1,Probability-based,2021-06-15 12:53:40,2021-06-15 12:57:28,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Very unfavorable,Very unfavorable
A100064,Probability 1,Probability-based,2021-06-15 13:17:41,2021-06-15 13:36:20,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Mostly unfavorable,Mostly unfavorable
A100065,Probability 1,Probability-based,2021-06-15 14:12:50,2021-06-15 14:18:24,English,Generally headed in the right direction,Most people can be trusted,Yes,Most of the time,Mostly favorable,Mostly favorable
A100066,Probability 1,Probability-based,2021-06-15 14:30:35,2021-06-15 14:41:11,English,Generally headed in the right direction,Most people can be trusted,Yes,Most of the time,Very favorable,Mostly favorable
A100067,Probability 1,Probability-based,2021-06-15 15:21:05,2021-06-15 15:30:16,English,Generally headed in the right direction,Most people can be trusted,Yes,Some of the time,Mostly favorable,Mostly favorable
A100068,Probability 1,Probability-based,2021-06-15 16:07:44,2021-06-15 16:14:50,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very favorable,Mostly favorable
A100069,Probability 1,Probability-based,2021-06-15 16:07:46,2021-06-15 16:15:12,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Mostly favorable,Mostly favorable
A100070,Probability 1,Probability-based,2021-06-15 16:07:49,2021-06-15 16:52:08,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Hardly at all,Mostly favorable,Mostly favorable
A100071,Probability 1,Probability-based,2021-06-15 16:07:49,2021-06-15 16:21:41,English,Generally headed in the right direction,Most people can be trusted,No,Most of the time,Mostly favorable,Mostly favorable
A100072,Probability 1,Probability-based,2021-06-15 16:07:50,2021-06-15 16:14:48,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Very unfavorable,Very unfavorable
A100073,Probability 1,Probability-based,2021-06-15 16:07:50,2021-06-16 14:40:14,English,Generally headed in the right direction,Most people can be trusted,No,Hardly at all,Mostly favorable,Mostly unfavorable
A100074,Probability 1,Probability-based,2021-06-15 16:07:55,2021-06-18 12:31:36,English,Generally headed in the right direction,Most people can be trusted,No,Most of the time,Mostly favorable,Very favorable
A100075,Probability 1,Probability-based,2021-06-15 16:08:04,2021-06-15 16:13:42,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100076,Probability 1,Probability-based,2021-06-15 16:08:10,2021-06-15 16:12:07,English,Generally headed in the right direction,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly unfavorable
A100077,Probability 1,Probability-based,2021-06-15 16:08:17,2021-06-15 16:18:34,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly favorable,Mostly favorable
A100078,Probability 1,Probability-based,2021-06-15 16:08:17,2021-06-15 16:12:05,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very favorable,Very favorable
A100079,Probability 1,Probability-based,2021-06-15 16:08:24,2021-06-15 16:23:27,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Mostly unfavorable,Mostly unfavorable
A100080,Probability 1,Probability-based,2021-06-15 16:08:36,2021-06-15 16:13:03,English,Generally headed in the right direction,Most people can be trusted,No,Most of the time,Very favorable,Very favorable
A100081,Probability 1,Probability-based,2021-06-15 16:08:36,2021-06-15 16:14:20,English,Generally headed in the right direction,Most people can be trusted,No,Some of the time,Very favorable,Very favorable
A100082,Probability 1,Probability-based,2021-06-15 16:08:38,2021-06-15 16:14:02,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100083,Probability 1,Probability-based,2021-06-15 16:08:39,2021-06-15 16:15:42,English,Generally headed in the right direction,Most people can be trusted,Yes,Most of the time,Mostly favorable,Mostly favorable
A100084,Probability 1,Probability-based,2021-06-15 16:08:42,2021-06-15 16:13:38,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable
A100085,Probability 1,Probability-based,2021-06-15 16:09:14,2021-06-15 16:14:47,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Hardly at all,Very favorable,Very favorable
A100086,Probability 1,Probability-based,2021-06-15 16:09:27,2021-06-15 16:14:38,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Most of the time,Very unfavorable,Very unfavorable
A100087,Probability 1,Probability-based,2021-06-15 16:09:36,2021-06-15 16:15:13,English,Generally headed in the right direction,You can’t be too careful in dealing with people,No,Most of the time,Mostly favorable,Mostly favorable
A100088,Probability 1,Probability-based,2021-06-15 16:09:38,2021-06-15 16:22:44,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly favorable,Mostly favorable
A100089,Probability 1,Probability-based,2021-06-15 16:09:54,2021-06-15 16:25:36,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100090,Probability 1,Probability-based,2021-06-15 16:10:03,2021-06-15 16:22:17,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Mostly unfavorable,Very unfavorable
A100091,Probability 1,Probability-based,2021-06-15 16:10:15,2021-06-15 16:17:22,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very unfavorable
A100092,Probability 1,Probability-based,2021-06-15 16:10:32,2021-06-15 16:21:50,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Most of the time,Mostly favorable,Mostly unfavorable
A100093,Probability 1,Probability-based,2021-06-15 16:10:38,2021-06-15 16:17:11,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Some of the time,Very unfavorable,Very unfavorable
A100094,Probability 1,Probability-based,2021-06-15 16:10:41,2021-06-15 16:19:00,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Most of the time,Very unfavorable,Very unfavorable
A100095,Probability 1,Probability-based,2021-06-15 16:10:48,2021-06-15 16:28:45,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Mostly unfavorable,Very unfavorable
A100096,Probability 1,Probability-based,2021-06-15 16:10:57,2021-06-15 16:19:49,English,Off on the wrong track,Most people can be trusted,No,Most of the time,Very unfavorable,Very favorable
A100097,Probability 1,Probability-based,2021-06-15 16:10:58,2021-06-15 16:16:08,English,Off on the wrong track,You can’t be too careful in dealing with people,Yes,Only now and then,Mostly favorable,Mostly favorable
A100098,Probability 1,Probability-based,2021-06-15 16:11:00,2021-06-15 16:15:54,English,Off on the wrong track,Most people can be trusted,Yes,Most of the time,Very unfavorable,Very unfavorable
A100099,Probability 1,Probability-based,2021-06-15 16:11:01,2021-06-15 16:24:09,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Only now and then,Mostly unfavorable,Very unfavorable
A100100,Probability 1,Probability-based,2021-06-15 16:11:04,2021-06-15 16:20:23,English,Off on the wrong track,You can’t be too careful in dealing with people,No,Some of the time,Very unfavorable,Very unfavorable

Here are the visual representations of a tranquil garden at dusk, capturing the serene and soothing atmosphere of the scene.