Unique ID,Interview start time,Interview end time,The device used in the latest access of the survey link,Language of interview,Wave 105 form assignment,Flag to identify non-internet households that were provided a tablet,"Thinking about our economic situation, how would you describe the current economic situation in the U.S.?","When children today in the U.S. grow up, do you think they will be…",How satisfied are you with the way democracy is working in the U.S.?,"Which statement is closer to your view, even if neither is exactly right? The U.S. will be better off in the future if it…", The U.S.: Do you have a favorable or unfavorable opinion of…
100637,2022-03-23 18:24:40,2022-03-23 18:41:17,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
101224,2022-03-22 12:43:27,2022-03-22 12:58:02,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Better off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
101485,2022-03-23 10:55:12,2022-03-23 11:06:59,Smartphone,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very unfavorable
103406,2022-03-24 22:06:55,2022-03-24 23:02:27,Smartphone,English,Form 1,Non-tablet HH,Somewhat good,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
103519,2022-03-22 12:09:33,2022-03-22 12:28:08,Smartphone,English,Form 1,Non-tablet HH,Very good,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
103677,2022-03-22 12:17:18,2022-03-22 12:31:15,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
104210,2022-03-24 11:10:20,2022-03-24 11:21:35,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
104368,2022-03-22 16:09:50,2022-03-22 16:52:54,Laptop/PC,English,Form 1,Non-tablet HH,Very good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
104727,2022-03-24 21:21:56,2022-03-24 21:48:06,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Better off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Very favorable
105205,2022-03-23 12:43:23,2022-03-23 12:54:43,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
106590,2022-03-24 11:15:06,2022-03-24 11:29:08,Smartphone,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Very satisfied,Sticks to its traditions and way of life,Very favorable
106885,2022-03-22 12:29:50,2022-03-22 13:53:17,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
106960,2022-03-25 11:52:26,2022-03-25 12:13:18,Laptop/PC,English,Form 1,Tablet HH,Somewhat good,Better off financially than their parents,Very satisfied,Is open to changes regarding its traditions and way of life,Very favorable
107612,2022-03-22 23:42:38,2022-03-23 00:04:15,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
108035,2022-03-22 19:51:28,2022-03-22 20:04:33,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
108909,2022-03-24 01:18:19,2022-03-24 01:44:09,Tablet,English,Form 2,Tablet HH,Somewhat bad,Better off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
111665,2022-03-22 20:36:35,2022-03-22 21:00:18,Laptop/PC,English,Form 1,Tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
112984,2022-03-22 23:04:56,2022-03-22 23:41:59,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Refused,Somewhat satisfied,Refused,Somewhat favorable
114671,2022-03-22 12:22:42,2022-03-22 12:37:02,Smartphone,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat unfavorable
115295,2022-03-22 14:03:58,2022-03-22 14:24:04,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat unfavorable
115706,2022-03-24 21:45:15,2022-03-24 23:17:20,Tablet,English,Form 1,Tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
116422,2022-03-22 13:30:44,2022-03-22 13:48:10,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
116591,2022-03-26 08:49:48,2022-03-26 09:16:28,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
116998,2022-03-26 00:41:17,2022-03-26 01:33:54,Smartphone,English,Form 2,Non-tablet HH,Somewhat good,Refused,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat unfavorable
118414,2022-03-22 12:36:00,2022-03-22 13:12:35,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
119392,2022-03-24 22:07:22,2022-03-24 22:46:19,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
119548,2022-03-22 16:39:59,2022-03-22 16:59:58,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
119714,2022-03-25 18:43:27,2022-03-25 18:59:01,Smartphone,English,Form 1,Non-tablet HH,Somewhat good,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
121158,2022-03-22 13:43:02,2022-03-22 14:03:34,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Better off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
126211,2022-03-23 17:56:25,2022-03-23 18:23:19,Tablet,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Very favorable
128214,2022-03-22 21:48:44,2022-03-22 22:01:35,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
130571,2022-03-22 13:22:18,2022-03-22 13:40:57,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
130781,2022-03-24 12:09:58,2022-03-24 13:00:23,Smartphone,English,Form 2,Non-tablet HH,Somewhat good,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
133700,2022-03-23 10:29:08,2022-03-23 10:52:39,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
134129,2022-03-24 20:49:37,2022-03-24 21:00:59,Smartphone,English,Form 1,Non-tablet HH,Somewhat good,Worse off financially than their parents,Refused,Is open to changes regarding its traditions and way of life,Very unfavorable
135184,2022-03-27 08:38:56,2022-03-27 08:56:16,Tablet,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Very favorable
136316,2022-03-24 14:43:21,2022-03-24 14:56:31,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat good,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
139134,2022-03-26 11:29:43,2022-03-26 11:49:46,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
139905,2022-03-22 21:16:24,2022-03-22 21:52:42,Laptop/PC,English,Form 2,Tablet HH,Somewhat bad,Refused,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
143915,2022-03-22 13:12:48,2022-03-22 13:37:59,Laptop/PC,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
144036,2022-03-23 10:21:28,2022-03-23 10:51:00,Smartphone,English,Form 1,Non-tablet HH,Very bad,Better off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
145364,2022-03-24 11:23:30,2022-03-24 11:49:53,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
145887,2022-03-24 15:36:20,2022-03-24 15:54:32,Tablet,English,Form 1,Tablet HH,Somewhat bad,Better off financially than their parents,Very satisfied,Is open to changes regarding its traditions and way of life,Very favorable
149866,2022-03-22 15:26:57,2022-03-22 16:22:12,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Very unfavorable
151929,2022-03-24 11:13:32,2022-03-24 11:54:34,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
152324,2022-03-22 19:07:44,2022-03-22 19:19:30,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
153863,2022-03-23 19:25:59,2022-03-23 20:30:51,Tablet,English,Form 2,Tablet HH,Very good,Better off financially than their parents,Very satisfied,Is open to changes regarding its traditions and way of life,Very favorable
154578,2022-03-24 22:41:21,2022-03-24 22:56:39,Smartphone,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Somewhat unfavorable
154750,2022-03-22 12:29:28,2022-03-22 12:54:42,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
155464,2022-03-22 17:09:02,2022-03-22 17:26:06,Tablet,English,Form 1,Tablet HH,Somewhat good,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
156660,2022-03-22 19:42:22,2022-03-22 19:54:59,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
157348,2022-03-22 20:31:27,2022-03-22 20:47:26,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
159075,2022-03-22 13:44:33,2022-03-22 14:18:03,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat unfavorable
159562,2022-03-22 13:21:54,2022-03-22 13:40:51,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
162028,2022-03-22 20:03:06,2022-03-22 20:45:21,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
165452,2022-03-22 18:06:49,2022-03-22 18:31:17,Tablet,English,Form 1,Tablet HH,Somewhat bad,Better off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
169249,2022-03-22 13:42:49,2022-03-22 13:59:05,Smartphone,English,Form 2,Tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
174032,2022-03-26 11:23:43,2022-03-26 11:42:42,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
176214,2022-03-22 14:13:08,2022-03-22 14:39:21,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat good,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
176308,2022-03-25 07:42:21,2022-03-25 07:54:49,Smartphone,English,Form 1,Non-tablet HH,Somewhat good,Better off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
176940,2022-03-23 08:23:49,2022-03-23 08:56:31,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
179979,2022-03-23 12:24:25,2022-03-23 12:41:00,Tablet,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
181573,2022-03-21 15:35:23,2022-03-21 16:04:39,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Very favorable
184735,2022-03-21 15:56:15,2022-03-21 16:26:05,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
184778,2022-03-27 05:18:51,2022-03-27 05:29:49,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
185159,2022-03-26 12:32:30,2022-03-26 12:47:56,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
185416,2022-03-27 11:02:04,2022-03-27 11:13:47,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat favorable
185944,2022-03-23 20:15:51,2022-03-23 21:14:32,Smartphone,English,Form 2,Tablet HH,Very good,Better off financially than their parents,Very satisfied,Is open to changes regarding its traditions and way of life,Very favorable
186170,2022-03-23 16:29:00,2022-03-23 16:45:39,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
186902,2022-03-22 13:53:25,2022-03-22 16:09:25,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Refused,Very favorable
186980,2022-03-22 15:37:44,2022-03-22 16:05:28,Tablet,English,Form 2,Tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
188245,2022-03-22 12:58:11,2022-03-22 13:20:54,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
188340,2022-03-24 17:35:11,2022-03-24 17:51:15,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Very favorable
190961,2022-03-24 11:39:52,2022-03-24 12:23:22,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Somewhat unfavorable
191336,2022-03-22 17:46:17,2022-03-22 18:00:40,Laptop/PC,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
192396,2022-03-22 16:18:33,2022-03-22 16:49:40,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
192798,2022-03-22 12:23:20,2022-03-22 12:48:27,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
193545,2022-03-22 12:46:08,2022-03-22 14:05:24,Smartphone,English,Form 1,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
194068,2022-03-26 16:54:26,2022-03-26 17:14:07,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Very favorable
194477,2022-03-26 00:31:24,2022-03-26 00:46:39,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
195349,2022-03-22 18:46:52,2022-03-22 19:15:04,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
195373,2022-03-22 16:53:34,2022-03-22 17:09:12,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Somewhat favorable
197174,2022-03-23 13:10:47,2022-03-23 17:12:16,Laptop/PC,English,Form 1,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
197397,2022-03-22 12:07:45,2022-03-22 12:48:02,Smartphone,English,Form 2,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not at all satisfied,Is open to changes regarding its traditions and way of life,Very favorable
198176,2022-03-22 12:15:58,2022-03-22 12:27:53,Smartphone,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
202545,2022-03-24 13:47:36,2022-03-24 14:18:12,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very favorable
203921,2022-03-22 16:10:47,2022-03-22 16:35:23,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
204164,2022-03-23 20:18:22,2022-03-23 20:29:40,Smartphone,English,Form 2,Non-tablet HH,Somewhat good,Worse off financially than their parents,Very satisfied,Sticks to its traditions and way of life,Very favorable
204329,2022-03-23 13:37:15,2022-03-23 14:09:31,Tablet,English,Form 2,Tablet HH,Somewhat good,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
204536,2022-03-25 23:41:16,2022-03-26 01:38:53,Tablet,English,Form 1,Tablet HH,Very bad,Worse off financially than their parents,Not at all satisfied,Sticks to its traditions and way of life,Very unfavorable
204832,2022-03-22 19:01:44,2022-03-22 19:24:34,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Somewhat unfavorable
209250,2022-03-23 20:19:00,2022-03-24 14:20:53,Smartphone,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Very favorable
209589,2022-03-22 14:44:33,2022-03-22 15:01:42,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Not too satisfied,Is open to changes regarding its traditions and way of life,Somewhat favorable
212111,2022-03-23 17:01:11,2022-03-23 17:15:00,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
212322,2022-03-22 13:18:30,2022-03-22 13:27:20,Laptop/PC,English,Form 1,Non-tablet HH,Somewhat bad,Worse off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Somewhat favorable
212492,2022-03-22 22:13:41,2022-03-22 22:58:16,Laptop/PC,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Somewhat unfavorable
212597,2022-03-22 18:52:19,2022-03-22 19:09:54,Smartphone,English,Form 1,Non-tablet HH,Somewhat bad,Better off financially than their parents,Somewhat satisfied,Is open to changes regarding its traditions and way of life,Very favorable
212680,2022-03-23 21:55:18,2022-03-23 22:28:01,Smartphone,English,Form 2,Non-tablet HH,Very good,Better off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
213541,2022-03-22 12:30:35,2022-03-22 14:34:01,Smartphone,English,Form 2,Non-tablet HH,Very bad,Worse off financially than their parents,Not too satisfied,Sticks to its traditions and way of life,Very favorable
218656,2022-03-23 18:00:05,2022-03-23 18:07:18,Laptop/PC,English,Form 2,Non-tablet HH,Somewhat good,Better off financially than their parents,Somewhat satisfied,Sticks to its traditions and way of life,Very favorable
