Gender;Agegroup;Math;Statfuture;CTh1b;CTh2b;CTh5b;CTh1f;CTh2f;CTh5f;rescaled_WMLb;rescaled_WMLf
1;1;1;1;2;2;2;4;3;5;6,96;10,7
1;1;1;1;1;1;1;2;3;4;3;8,11
1;2;1;1;2;2;3;3;4;2;7,69;8,11
1;2;1;1;3;3;2;3;3;2;8,31;7,48
1;1;2;1;3;4;3;2;2;4;9,47;7,48
1;1;2;1;3;4;4;5;4;4;10,13;11,99
2;1;2;1;3;3;5;3;3;3;10,13;8,11
1;2;2;1;2;2;1;3;3;2;6,03;7,48
1;2;2;1;3;2;4;3;2;4;8,88;8,11
1;1;2;1;3;3;2;2;2;1;8,31;5,44
1;1;2;1;1;3;3;1;2;2;7,69;5,44
1;1;2;1;2;2;2;3;3;2;6,96;7,48
1;1;2;1;3;3;2;2;3;3;8,31;7,48
1;1;2;1;2;2;2;2;2;3;6,96;6,85
1;1;2;1;4;5;5;3;3;4;13,1;8,8
1;1;2;1;2;3;3;3;4;3;8,31;8,8
1;1;2;1;4;3;4;3;2;4;10,13;8,11
1;1;2;1;2;1;1;3;4;2;4,83;8,11
2;1;2;1;3;4;3;3;4;4;9,47;9,63
1;2;2;1;3;4;3;4;4;4;9,47;10,7
1;2;2;1;4;4;5;3;3;4;11,9;8,8
1;2;2;1;4;4;4;4;4;4;10,93;10,7
1;2;2;1;3;4;2;3;3;4;8,88;8,8
2;2;2;1;2;2;1;4;2;5;6,03;9,63
1;1;1;2;2;2;2;2;2;1;6,96;5,44
1;1;1;2;3;2;2;2;4;2;7,69;7,48
1;1;1;2;2;4;3;3;3;4;8,88;8,8
1;1;1;2;4;2;1;3;2;3;7,69;7,48
1;1;1;2;2;2;4;2;1;2;8,31;5,44
 ;2;1;2;4;2;2;3;3;4;8,31;8,8
 ;2;1;2;3;3;2;3;3;3;8,31;8,11
1;2;1;2;2;1;1;2;1;1;4,83;4,52
1;2;1;2;4;3;2;3;3;2;8,88;7,48
1;2;1;2;2;2;2;3;2;2;6,96;6,85
1;1;2;2;4;5;4;4;4;5;11,9;11,99
1;1;2;2;2;3;2;2;3;3;7,69;7,48
1;1;2;2;3;4;4;4;4;4;10,13;10,7
1;1;2;2;4;3;4;2;2;3;10,13;6,85
 ;2;2;2;3;3;4;2;3;1;9,47;6,19
1;2;2;2;3;3;3;4;4;2;8,88;8,8
1;2;2;2;3;2;4;4;2;1;8,88;6,85
2;2;2;2;3;2;1;3;2;1;6,96;6,19
1; ;2;2;2;3;2;2;4;2;7,69;7,48
1;1;2;2;3;5;5;4;4;5;11,9;11,99
1;1;2;2;3;3;3;3;3;3;8,88;8,11
1;1;2;2;2;3;2;2;3;2;7,69;6,85
1;1;2;2;3;3;3;3;4;3;8,88;8,8
1;1;2;2;4;4;3;3;4;3;10,13;8,8
1;1;2;2;3;4;3;2;4;3;9,47;8,11
1;1;2;2;4;2;2;3;3;4;8,31;8,8
1;1;2;2;2;2;3;2;3;3;7,69;7,48
1;1;2;2;3;2;3;4;5;4;8,31;11,99
1;1;2;2;2;1;2;3;3;2;6,03;7,48
1;1;2;2;2;2;2;2;2;1;6,96;5,44
1;1;2;2;1;1;1;1;2;4;3;6,85
1;1;2;2;2;2;1;2;2;1;6,03;5,44
1;1;2;2;2;2;2;2;2;2;6,96;6,19
1;1;2;2;3;2;2;3;3;3;7,69;8,11
1;1;2;2;2;2;2;3;2;1;6,96;6,19
1;1;2;2;2;3;4;2;2;3;8,88;6,85
1;1;2;2;3;3;2;3;3;3;8,31;8,11
1;1;2;2;3;4;2;2;2;2;8,88;6,19
1;1;2;2;1;4;2;2;3;2;7,69;6,85
2;1;2;2;3;2;1;3;4;3;6,96;8,8
2;1;2;2;3;3;4;2;3;3;9,47;7,48
2;1;2;2;2;3;4;2;3;3;8,88;7,48
2;1;2;2;3;2;2;2;3;3;7,69;7,48
1;2;2;2;1;2;2;2;2;3;6,03;6,85
1;2;2;2;2;3;2;2;3;3;7,69;7,48
1;2;2;2;4;3;4;4;4;4;10,13;10,7
1;2;2;2;3;3;4;3;2;3;9,47;7,48
1;2;2;2;3;3;2;3;3;4;8,31;8,8
1;2;2;2;3;2;2;3;3;4;7,69;8,8
1;2;2;2;3;3;2;3;4;3;8,31;8,8
1;2;2;2;3;3;2;3;3;2;8,31;7,48
1;2;2;2;3;3;3;2;4;2;8,88;7,48
1;2;2;2;3;4;4;3;4;3;10,13;8,8
2;2;2;2;4;4;3;4;4;3;10,13;9,63
2;2;2;2;3;2;2;2;2;3;7,69;6,85
1;1;1;3;2;3;2;1;2;1;7,69;4,52
1;2;1;3;1;1;1;2;2;1;3;5,44
1;2;1;3;1;1;1;1;1;2;3;4,52
 ;1;2;3;2;2;2;2;3;2;6,96;6,85
1;1;2;3;3;2;2;3;2;2;7,69;6,85
1;1;2;3;2;3;3;2;3;3;8,31;7,48
1;1;2;3;3;2;2;2;2;3;7,69;6,85
1;1;2;3;2;1;2;1;1;2;6,03;4,52
1;2;1;1;2;4;2;2;3;2;8,31;6,85
1;2;1;1;3;3;1;3;3;4;7,69;8,8
2;2;1;1;3;2;5;1;1;3;9,47;5,44
1;1;2;1;3;3;3;2;3;3;8,88;7,48
1;1;2;1;4;5;5;4;4;5;13,1;11,99
1;1;2;1;2;2;3;2;3;3;7,69;7,48
2;1;2;1;2;2;4;3;4;2;8,31;8,11
1;1;2;1;2;2;3;2;3;4;7,69;8,11
1;1;2;1;3;3;3;2;3;4;8,88;8,11
1;1;2;1;3;2;3;1;1;1;8,31;3
1;1;2;1;4;2;2;2;2;4;8,31;7,48
1;1;2;1;2;4;3;2;3;3;8,88;7,48
1;1;2;1;2;2;1;1;1;1;6,03;3
1;1;2;1;2;3;2;3;3;2;7,69;7,48
2;1;2;1;2;3;2;2;3;3;7,69;7,48
2;1;2;1;4;5;5;4;3;4;13,1;9,63
1;2;2;1;3;4;3;3;3;4;9,47;8,8
1;2;2;1;2;4;4;2;4;4;9,47;8,8
2;2;2;1;2;4;4;2;3;5;9,47;8,8
2;2;2;1;3;4;1;2;2;2;8,31;6,19
2;2;2;1;2;2;2;3;5;5;6,96;11,99
1;1;1;2;3;3;2;3;3;4;8,31;8,8
1;1;1;2;2;3;3;3;3;4;8,31;8,8
1;1;1;2;1;1;1;2;3;1;3;6,19
1;2;1;2;2;2;1;1;1;1;6,03;3
1;2;1;2;2;2;3;2;4;4;7,69;8,8
1;1;2;2;2;3;2;2;3;3;7,69;7,48
2;1;2;2;2;1;1;3;3;2;4,83;7,48
2;2;2;2;3;2;2;4;4;4;7,69;10,7
1;1;2;2;2;1;2;1;2;1;6,03;4,52
1;1;2;2;2;1;2;2;2;2;6,03;6,19
1;1;2;2;3;2;1;3;4;2;6,96;8,11
1;1;2;2;3;3;3;3;4;3;8,88;8,8
1;1;2;2;3;2;2;3;4;5;7,69;10,7
1;1;2;2;2;2;2;1;3;3;6,96;6,85
1;1;2;2;3;3;2;3;2;3;8,31;7,48
1;1;2;2;4;2;2;2;2;2;8,31;6,19
1;1;2;2;4;3;2;4;3;3;8,88;8,8
1;1;2;2;3;4;3;3;3;3;9,47;8,11
1;1;2;2;3;3;2;1;3;3;8,31;6,85
1;1;2;2;2;1;1;2;1;2;4,83;5,44
1;1;2;2;3;2;1;4;3;2;6,96;8,11
1;1;2;2;2;2;2;3;3;4;6,96;8,8
1;1;2;2;2;4;1;2;1;4;7,69;6,85
1;1;2;2;3;3;2;3;3;2;8,31;7,48
1;1;2;2;3;1;1;3;1;1;6,03;5,44
1;1;2;2;3;4;3;3;4;3;9,47;8,8
1;1;2;2;3;3;2;4;3;3;8,31;8,8
1;1;2;2;3;2;1;4;3;3;6,96;8,8
1;1;2;2;2;4;2;3;4;4;8,31;9,63
1;1;2;2;2;2;1;3;3;2;6,03;7,48
1;1;2;2;3;3;2;2;2;4;8,31;7,48
2;1;2;2;2;2;1;3;4;3;6,03;8,8
2;1;2;2;3;5;4;4;4;4;10,93;10,7
2;1;2;2;2;2;2;4;4;4;6,96;10,7
2;1;2;2;4;3;2;3;4;4;8,88;9,63
1;2;2;2;2;2;3;3;2;3;7,69;7,48
1;2;2;2;1;2;3;2;2;3;6,96;6,85
1;2;2;2;2;2;1;1;2;2;6,03;5,44
1;2;2;2;2;3;3;2;3;3;8,31;7,48
1;2;2;2;3;3;2;3;3;4;8,31;8,8
1;2;2;2;3;2;2;2;3;3;7,69;7,48
1;2;2;2;2;2;1;2;3;4;6,03;8,11
1;2;2;2;2;2;3;3;1;3;7,69;6,85
1;2;2;2;2;3;4;3;2;4;8,88;8,11
2;2;2;2;2;3;3;4;4;4;8,31;10,7
2;2;2;2;3;3;1;2;3;1;7,69;6,19
1;1;1;3;1;2;1;2;1;1;4,83;4,52
1;1;1;3;1;1;3;2;3;3;6,03;7,48
1;1;1;3;1;2;1;1;1;1;4,83;3
1;2;1;3;2;1;2;4;3;3;6,03;8,8
1;1;2;3;4;5;1;3;4;2;9,47;8,11
1;1;2;3;3;3;1;3;2;2;7,69;6,85
1;2;2;3;3;1;1;1;1;1;6,03;3
1;2;2;3;1;1;1;1;1;1;3;3
1;2;2;3;4;2;1;3;3;3;7,69;8,11
1;2;2;3;2;2;3;2;2;2;7,69;6,19
1;2;2;3;3;2;1;3;2;2;6,96;6,85
